,path,author,sex,birthday,header,created,sphere,genre_fi,type,topic,chronotop,style,audience_age,audience_level,audience_size,source,publication,publisher,publ_year,medium,subcorpus,tagging,words
0,post1950/fiction_mem/aksenov/krym,Василий Аксенов,муж,1932,Остров Крым (авторская редакция),1977-1979,художественная,фантастика,роман,,ирреальный мир,нейтральный,н-возраст,н-уровень,большая,"Аксенов В. П. Остров Крым. - М.: Эксмо, 2008",Аксенов В. П. Остров Крым,Эксмо,2008.0,книга,ПК письменных текстов,none,112241
1,post1950/fiction_mem/aksenov/strastj,Василий Аксенов,муж,1932,Таинственная страсть,2007,художественная,документальная проза,роман,,Россия/СССР: 1960-1980-е,нейтральный,н-возраст,н-уровень,большая,"Аксенов В. П. Таинственная страсть. Роман о шестидесятниках. М.: «Семь Дней», 2009",Аксенов В. П. Таинственная страсть. Роман о шестидесятниках,«Семь Дней»,2009.0,книга,ПК письменных текстов,none,133463
2,post1950/fiction_mem/aksenov/style,Василий Аксенов,муж,1932,Новый сладостный стиль,2005,художественная,нежанровая проза,роман,,Америка: современность|Ближний Восток: современность|Россия: постсоветский период,нейтральный,н-возраст,н-уровень,большая,"Аксенов Василий. Новый сладостный стиль. М.: Эксмо-Пресс, ИзографЪ. 1997",Аксенов Василий. Новый сладостный стиль,"Эксмо-Пресс, ИзографЪ",1997.0,книга,ПК письменных текстов,none,187941
3,post1950/fiction_mem/astafyev/car-ryba,Виктор Астафьев,муж,1924,Царь-рыба,1974,художественная,нежанровая проза,повесть|цикл,,Россия/СССР: советский период,нейтральный,н-возраст,н-уровень,большая,Астафьев Виктор. Царь-рыба // www.e-kniga.ru/Astafiev,"Астафьев В. П. Царь-рыба: Повествование в рассказах. - М.: Современник, 1982",Современник,1982.0,книга,ПК письменных текстов,none,100539
4,post1950/fiction_mem/astafyev/poklon,Виктор Астафьев,муж,1924,Последний поклон,1968-1991,художественная,нежанровая проза,повесть|рассказ|цикл,,Россия/СССР: 1960-1980-е,нейтральный,н-возраст,н-уровень,большая,"Собрание сочинений в пятнадцати томах. Том 5. Красноярск, Офсет, 1997 г.",Собрание сочинений в пятнадцати томах. Том 5,"Красноярск, «Офсет»",1997.0,книга,ПК письменных текстов,none,264887
5,post1950/fiction_mem/azarov/podozrevaemyj,Юрий Азаров,муж,1931,Подозреваемый,2002,художественная,нежанровая проза,роман,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,большая,"Юрий Азаров. Подозреваемый. М.: Вагриус, 2002",Юрий Азаров. Подозреваемый,Вагриус,2002.0,книга,ПК письменных текстов,none,120821
6,post1950/fiction_mem/baldin/mosk_prazd,Андрей Балдин,муж,1958,Московские праздные дни,1997,публицистика | нехудожественная,,эссе|цикл,культурология,,нейтральный,н-возраст,н-уровень,большая,"А. Н. Балдин. Московские праздные дни. - М.: «Астрель», 2010",А. Н. Балдин. Московские праздные дни,Астрель,2010.0,книга,ПК письменных текстов,none,114498
7,post1950/fiction_mem/berberova/iron_woman,Н. Н. Берберова,жен,1901,Железная женщина,1978-1980,художественная,документальная проза,роман,,Россия: 1-я пол. XX в,нейтральный,н-возраст,н-уровень,большая,"Н. Берберова. Железная женщина. - М.: Книжная палата, 1991",Н. Берберова. Желещная женщина,«Книжная палата»,1991.0,книга,ПК письменных текстов,none,135239
8,post1950/fiction_mem/berberova/kursiv_moy,Н. Н. Берберова,жен,1901,Курсив мой,1960-1966,художественная,документальная проза,роман,искусство и культура,Россия: 1-я пол. XX в,нейтральный,н-возраст,н-уровень,большая,"Н. Берберова. Курсив мой. Автобиография. М.: Согласие, 1996",Н. Берберова. Курсив мой. Автобиография,«Согласие»,1996.0,книга,ПК письменных текстов,none,191392
9,post1950/fiction_mem/bestemyanova/para_troe,Наталья Бестемьянова|Игорь Бобрин|Андрей Букин,жен|муж,1960|1953|1957-1958,"Пара, в которой трое",2000-2001,публицистика | нехудожественная,,мемуары,спорт,Россия/СССР: советский период,нейтральный,н-возраст,н-уровень,большая,"Наталья Бестемьянова, Игорь Бобрин, Андрей Букин. Пара, в которой трое. М.: Вагриус, 2001","Наталья Бестемьянова, Игорь Бобрин, Андрей Букин. Пара, в которой трое",Вагриус,2001.0,книга,ПК письменных текстов,none,114049
